订单号,产品码,消费日期,产品说明,数量,单价,用户码,城市
1001,PROD001,2022-06-01 09:15,绿联usb分线器,2,25.50,CUST001,北京
1002,PROD002,2022-06-01 10:30,加大男装T恤,1,89.00,CUST002,上海
1003,PROD003,2022-06-01 11:45,进口白心火龙果,3,35.00,CUST001,北京
1004,PROD004,2022-06-02 08:20,大连美早樱桃,2,68.00,CUST003,深圳
1005,PROD001,2022-06-02 14:15,绿联usb分线器,1,25.50,CUST004,广州
1006,PROD005,2022-06-03 09:30,泰国新鲜鳕鱼,1,128.00,CUST002,上海
1007,PROD002,2022-06-03 16:45,加大男装T恤,2,89.00,CUST005,杭州
1008,PROD006,2022-06-04 10:10,有机蔬菜套餐,1,45.00,CUST001,北京
1009,PROD003,2022-06-04 13:25,进口白心火龙果,2,35.00,CUST006,成都
1010,PROD007,2022-06-05 08:55,进口牛奶,4,28.00,CUST003,深圳
1011,PROD001,2022-06-05 15:30,绿联usb分线器,3,25.50,CUST007,南京
1012,PROD008,2022-06-06 11:20,手工巧克力,1,58.00,CUST002,上海
1013,PROD004,2022-06-06 17:40,大连美早樱桃,1,68.00,CUST008,西安
1014,PROD005,2022-06-07 09:05,泰国新鲜鳕鱼,2,128.00,CUST001,北京
1015,PROD009,2022-06-07 14:50,进口咖啡豆,1,88.00,CUST009,武汉
1016,PROD002,2022-06-08 10:30,加大男装T恤,1,89.00,CUST004,广州
1017,PROD006,2022-06-08 16:15,有机蔬菜套餐,2,45.00,CUST010,重庆
1018,PROD010,2022-06-09 08:45,进口橄榄油,1,158.00,CUST005,杭州
1019,PROD001,2022-06-09 13:20,绿联usb分线器,2,25.50,CUST011,天津
1020,PROD003,2022-06-10 09:40,进口白心火龙果,1,35.00,CUST006,成都
1021,PROD011,2022-06-10 15:55,精选坚果礼盒,1,98.00,CUST002,上海
1022,PROD007,2022-06-11 08:25,进口牛奶,3,28.00,CUST012,苏州
1023,PROD004,2022-06-11 14:10,大连美早樱桃,2,68.00,CUST007,南京
1024,PROD012,2022-06-12 10:50,进口牛肉,2,188.00,CUST013,青岛
1025,PROD008,2022-06-12 17:30,手工巧克力,2,58.00,CUST008,西安
1026,PROD002,2022-06-13 09:15,加大男装T恤,3,89.00,CUST001,北京
1027,PROD013,2022-06-13 15:40,进口红酒,1,268.00,CUST014,长沙
1028,PROD006,2022-06-14 11:05,有机蔬菜套餐,1,45.00,CUST009,武汉
1029,PROD009,2022-06-14 16:50,进口咖啡豆,1,88.00,CUST015,厦门
1030,PROD001,2022-06-15 08:30,绿联usb分线器,1,25.50,CUST010,重庆
1031,PROD014,2022-06-15 14:20,进口茶叶,2,128.00,CUST004,广州
1032,PROD005,2022-06-16 10:45,泰国新鲜鳕鱼,1,128.00,CUST016,大连
1033,PROD007,2022-06-16 17:15,进口牛奶,2,28.00,CUST011,天津
1034,PROD010,2022-06-17 09:50,进口橄榄油,2,158.00,CUST005,杭州
1035,PROD012,2022-06-17 15:25,进口牛肉,1,188.00,CUST017,郑州
1036,PROD003,2022-06-18 08:40,进口白心火龙果,3,35.00,CUST012,苏州
1037,PROD015,2022-06-18 14:55,进口水果礼盒,1,168.00,CUST018,济南
1038,PROD008,2022-06-19 11:30,手工巧克力,1,58.00,CUST013,青岛
1039,PROD011,2022-06-19 16:40,精选坚果礼盒,2,98.00,CUST006,成都
1040,PROD002,2022-06-20 09:05,加大男装T恤,2,89.00,CUST019,合肥
1041,PROD013,2022-06-20 15:20,进口红酒,2,268.00,CUST009,武汉
1042,PROD006,2022-06-21 10:15,有机蔬菜套餐,3,45.00,CUST014,长沙
1043,PROD016,2022-06-21 17:05,进口海鲜套餐,1,288.00,CUST020,福州
1044,PROD004,2022-06-22 08:50,大连美早樱桃,1,68.00,CUST015,厦门
1045,PROD009,2022-06-22 14:35,进口咖啡豆,3,88.00,CUST010,重庆
1046,PROD014,2022-06-23 11:40,进口茶叶,1,128.00,CUST016,大连
1047,PROD017,2022-06-23 16:25,进口奶酪,2,78.00,CUST011,天津
1048,PROD010,2022-06-24 09:30,进口橄榄油,1,158.00,CUST021,昆明
1049,PROD012,2022-06-24 15:45,进口牛肉,3,188.00,CUST012,苏州
1050,PROD018,2022-06-25 08:55,进口零食大礼包,1,198.00,CUST017,郑州
