订单号,用户码,消费日期,产品说明,数量,单价,城市
ORD001,USER001,2024-01-15,智能手机保护壳,2,29.90,北京
ORD002,USER002,2024-01-16,无线蓝牙耳机,1,199.00,上海
ORD003,USER001,2024-01-20,快充充电宝,1,89.00,北京
ORD004,USER003,2024-01-22,手机支架,3,15.90,广州
ORD005,USER002,2024-01-25,数据线套装,2,39.90,上海
ORD006,USER004,2024-02-01,智能手机保护壳,1,29.90,深圳
ORD007,USER003,2024-02-03,车载手机支架,1,59.00,广州
ORD008,USER001,2024-02-08,屏幕保护膜,3,19.90,北京
ORD009,USER005,2024-02-10,无线充电器,1,129.00,杭州
ORD010,USER002,2024-02-12,蓝牙音箱,1,299.00,上海
ORD011,USER003,2024-02-15,智能手环,1,199.00,广州
ORD012,USER004,2024-02-18,手机镜头套装,1,89.00,深圳
ORD013,USER005,2024-02-20,平板电脑支架,2,45.00,杭州
ORD014,USER001,2024-02-22,车载充电器,1,79.00,北京
ORD015,USER006,2024-02-25,USB集线器,1,149.00,成都
ORD016,USER002,2024-02-28,机械键盘,1,399.00,上海
ORD017,USER003,2024-03-01,鼠标垫,2,29.90,广州
ORD018,USER004,2024-03-03,笔记本电脑支架,1,199.00,深圳
ORD019,USER005,2024-03-05,网络摄像头,1,259.00,杭州
ORD020,USER001,2024-03-08,手机散热器,1,69.00,北京
ORD021,USER006,2024-03-10,智能插座,2,59.00,成都
ORD022,USER007,2024-03-12,LED台灯,1,189.00,西安
ORD023,USER002,2024-03-15,游戏手柄,1,179.00,上海
ORD024,USER003,2024-03-18,平板保护套,1,99.00,广州
ORD025,USER004,2024-03-20,无线鼠标,1,129.00,深圳
ORD026,USER005,2024-03-22,键盘腕托,1,39.90,杭州
ORD027,USER001,2024-03-25,手机清洁套装,2,19.90,北京
ORD028,USER006,2024-03-28,智能体重秤,1,159.00,成都
ORD029,USER007,2024-03-30,空气净化器,1,599.00,西安
ORD030,USER008,2024-04-02,电动牙刷,1,299.00,南京
ORD031,USER002,2024-04-05,剃须刀,1,399.00,上海
ORD032,USER003,2024-04-08,吹风机,1,259.00,广州
ORD033,USER004,2024-04-10,加湿器,1,189.00,深圳
ORD034,USER005,2024-04-12,香薰机,1,159.00,杭州
ORD035,USER001,2024-04-15,桌面收纳盒,1,49.00,北京
ORD036,USER006,2024-04-18,电脑包,1,199.00,成都
ORD037,USER007,2024-04-20,保温杯,2,89.00,西安
ORD038,USER008,2024-04-22,运动水壶,1,59.00,南京
ORD039,USER009,2024-04-25,瑜伽垫,1,129.00,武汉
ORD040,USER002,2024-04-28,哑铃套装,1,299.00,上海
