商品ID,商品名称,商品类别,价格,品牌,上架时间,销量,库存,商品描述,平均评分
P001, iPhone 15 Pro,电子产品,3999,苹果,2023-09-15,1250,89,最新款苹果手机 128GB,4.8
P002, 优衣库羊毛大衣,服装,599,优衣库,2023-10-01,890,156,秋冬保暖羊毛大衣,4.5
P003, Python编程入门,图书,79,人民邮电出版社,2023-08-20,567,234,编程学习必备书籍,4.7
P004, 兰蔻粉底液,美妆,159,兰蔻,2023-09-10,445,78,持久遮瑕粉底液,4.6
P005, 耐克运动鞋,运动,999,耐克,2023-10-05,678,123,透气舒适跑步鞋,4.4
P006, 宜家书桌,家居,799,宜家,2023-09-25,234,67,简约现代办公书桌,4.3
P007, MacBook Air M2,电子产品,5999,苹果,2023-08-15,456,45,轻薄便携笔记本电脑,4.9
P008, ZARA连衣裙,服装,499,ZARA,2023-10-10,567,89,时尚优雅连衣裙,4.2
P009, 数据分析实战,图书,39,机械工业出版社,2023-09-05,345,178,数据科学学习指南,4.6
P010, 阿迪达斯运动T恤,运动,1199,阿迪达斯,2023-09-20,789,156,专业运动功能T恤,4.5
P011, 雅诗兰黛口红,美妆,299,雅诗兰黛,2023-08-30,334,234,持久显色口红,4.7
P012, 人类简史,图书,59,中信出版社,2023-07-15,445,289,畅销历史读物,4.8
P013, 华为Mate 60,电子产品,4999,华为,2023-09-01,667,89,旗舰智能手机,4.6
P014, H&M牛仔裤,服装,299,H&M,2023-10-15,445,167,经典修身牛仔裤,4.3
P015, 迪士尼乐园门票,服装,399,迪士尼,2023-08-20,234,567,主题乐园一日票,4.9
P016, 新百伦跑鞋,运动,199,新百伦,2023-09-12,556,234,专业跑步运动鞋,4.5
P017, 索尼耳机,电子产品,1999,索尼,2023-08-25,378,89,高音质降噪耳机,4.7
P018, 雅漾舒缓面霜,美妆,399,雅漾,2023-09-18,445,123,敏感肌专用面霜,4.5
P019, 无印良品收纳盒,家居,599,无印良品,2023-10-08,667,234,简约收纳解决方案,4.4
P020, Levi's牛仔裤,服装,899,Levi's,2023-09-05,334,156,经典牛仔品牌,4.6
P021, 欧莱雅洗发水,美妆,499,欧莱雅,2023-08-15,556,345,深层清洁洗发水,4.3
P022, 深度学习,图书,69,清华大学出版社,2023-07-20,445,167,人工智能入门书籍,4.7
P023, SK-II神仙水,美妆,599,SK-II,2023-09-25,234,89,经典护肤精华,4.8
P024, 太平鸟衬衫,服装,399,太平鸟,2023-10-12,556,234,时尚商务衬衫,4.4
P025, 乐高积木套装,家居,199,乐高,2023-08-10,678,456,创意拼装玩具,4.8
P026, 小米空气净化器,电子产品,1299,小米,2023-09-15,889,167,智能空气净化器,4.5
P027, 三星Galaxy Watch,电子产品,1599,三星,2023-10-05,445,89,智能运动手表,4.6
P028, 例外连衣裙,服装,1299,例外,2023-09-20,234,89,设计师品牌连衣裙,4.7
P029, Nike篮球鞋,运动,899,耐克,2023-08-05,667,156,专业篮球运动鞋,4.5
P030, 佳能数码相机,电子产品,2999,佳能,2023-09-10,334,67,高像素数码相机,4.8
P031, 时间简史,图书,99,湖南科学技术出版社,2023-07-25,556,234,霍金经典科普著作,4.9
P032, 思想政治,图书,129,人民出版社,2023-08-30,445,345,政治理论教材,4.2
P033, 戴森吸尘器,家居,2999,戴森,2023-10-01,223,89,无线手持吸尘器,4.7
P034, Lululemon瑜伽裤,运动,399,Lululemon,2023-09-08,556,167,专业运动瑜伽服,4.6
